Título	Frecuencia AM o FM	URL Radio en Línea	Ciudad	País	Correo	Web / URL	RSS Podcast	Computadoras en la  radio	Usan SO libres	SO gnulinux instalados	Software libre de radio	Qué licencias libres usan	Redes y plataformas
Ké Huelga Radio, libre social y contra el poder	102.9 FM	http://kehuelga.net:8000/radio.ogg y http://kehuelga.net:8000/radio.mp3	Ciudad de México - Ciudad Monstruo	México	kehuelga@kehuelga.net	http://kehuelga.net	https://kehuelga.net/diario/spip.php?page=backend&id_rubrique=55	3 a 5	En todas	Debian	Audacity, IDJC, VLC	Dominio Público	Diaspora, Mastodon, Archive
Mochileros	On Line	http://cassini.shoutca.st:9012/stream	Lomas de Zamora	Argentina	radiomochileros@gmial.com	http://www.mochilerosradio.com	https://ar.ivoox.com/es/podcast-mochileros-radio_fg_f1301143_filtro_1.xml	1 a 2	En todas	EterTICs GNU/Linux	G-Radio, Audacity, Butt, Mixxx, VLC	Dominio Público	Uso joomla, soy desarrollador y web master
Azulita TV	Canal 3		La Azulita	Venezuela	azulitafm@gmail.com	http://www.molinilloazul.com.ve		1 a 2	En las de salir al aire	Ubuntu / Ubuntu Studio	G-Radio	Dominio Público	
Conaicop	103.3 FM	www.radioconaicop.blogspot.com	Montevideo	Uruguay	conaicop.uy@gmail.com	http://www.radioconaicop.blogspot.com			En las de producción, En las de salir al aire, En las de prensa	EterTICs GNU/Linux	G-Radio	Dominio Público	mastodon diaspora archive
enAmazonas Radio Web	On Line		Puerto Ayacucho, Amazonas	Venezuela	info@enamazonas.com.ve	http://radio.enamazonas.com.ve		1 a 2	En todas	EterTICs GNU/Linux, Ubuntu / Ubuntu Studio	G-Radio	CC-BY-SA-NC	Archieve, Radioteca, Facepopular
Zintzilik Irratia	100.0 FM	https://www.zintzilik.net/	Orereta	Euskal Herria, Península Ibérica	zintzilik@sindominio.net	https://www.zintzilik.net/		5 a 10	En todas	Linux Mint, Debian	Audacity, VLC	CC - BY	twitter + facebook + telegram (en breves una cuenta en Pleroma-mastodon)
Radio Jitontik	95.1 FM		Abasolo, Chiapas	Mexico	molox@riseup.net	http://www.iktakop.org/radio-comunitaria-jitontik/		1 a 2	En todas	EterTICs GNU/Linux	G-Radio	Otras	radioteca
PodcastLinux	On Line		Santa Cruz de Tenerife	España	podcastlinux@disroot.org	https://avpodcast.net/podcastlinux		En todas	Otro	Ardour, Audacity, Butt, Mixxx, VLC	Sí, toda	"Mastodon
Archive.org"	
RÁDIO PANORAMAGOSPEL NET	On Line	http://stm37.srvstm.com:6036	Anápolis / Goiás	Brasil	radio@panoramagospel.com	http://www.panoramagospel.com		En todas	Debian	G-Radio, Audacity, Butt	Difundimos siempre música libre y alguna que no lo es, pero de grupos amigos o gente de la comunidad		
Radio Sur	88.3 FM	https://www.solumedia.com.ar/radios/radiosur/	Buenos Aires	Argentina	radiosur88.3@gmail.com	http://www.radiosur.org.ar/		5 a 10	En las de producción	Ubuntu / Ubuntu Studio	Audacity, VLC	---	No.
Radio Suscal	88.1 FM	http://87.117.197.33:19391/	Suscal	Ecuador	suscalradiodigital@gmail.com	https://radiosuscal881.blogspot.com		1 a 2					
FM ESTILO	91.7 FM	http://138.219.43.138:8030	Villa Gobernador Galvez	Argentina	fmestilo@gmail.com	https://www.estilofm.com.ar		1 a 2	En las de producción	Ubuntu / Ubuntu Studio	Audacity, Butt, VLC	Dominio Público	"Usamos radioteca que es la que hemos conocido a traves de la web.

"
Peñon de Guatape Cultural	97.6 FM	http://real1.streaming-co.com:8616	Guatapé	Colombia	penondeguatape@gmail.com	http://desdeguatape.com/		5 a 10	En todas, En las de producción	Ubuntu / Ubuntu Studio	G-Radio	Dominio Público, CC - BY	
fmsierrascomechingones.blogspot.com	107.9  FM		San Pedro	Còrdoba Argentina	fmsierras@gmail.com	http://fmsierrascomechingones.blogspot.com		1 a 2	Sólo en una para las pruebas	EterTICs GNU/Linux		Dominio Público	
"radio comunal ""Dunas de Concon"""	107.3 FM		valparaiso	Chile	radiocomunalconcon@gmail.com			1 a 2	En las de producción, En las de salir al aire	Otras distros derivadas de Ubuntu (Lubuntu, Xubuntu...)	VLC	Dominio Público	Archivos de radioteca
Libertad Vida Comunicación Libre	On Line	http://libertadvida.wordpress.com	Vitória	Brasil	cemanahuac@riseup.net	http://libertadvida.wordpress.com		1 a 2	En todas		Audacity	Producción de Pares BY-SA-NoCapitalista	GNUSocial
Kmoradio	On Line	www.km0radio.es	Ciaño Langreo Principado de Asturias	España	km0radio@hotmail.com	http://www.km0radio.es		1 a 2	En todas	Otro	Audacity	Dominio Público	
Radio Comunitaria Totopo	107.5 FM	https://espora.org:8000/radio tipo.ogg	Juchitán, Oaxaca	México	totoporadio@hotmail.com	https://radiototopo.espora.org		1 a 2	En las de salir al aire	EterTICs GNU/Linux	G-Radio, Audacity	Dominio Público	"Radioteca
Espora
"
Ahijuna	94.7 FM	http://stream.ahijuna.fm/aire.ogg	Bernal	Argentina	radio@ahijuna.fm	http://www.ahijuna.fm		5 a 10	En todas	Linux Mint	G-Radio	CC - BY	Archive, Radioteca.
Alba Ciudad 96.3 FM	96.3 FM	http://www.albaciudad.org/radio/	Caracas	Venezuela	albaciudadfm@gmail.com	http://www.albaciudad.org		Más de 10	En todas	Ubuntu / Ubuntu Studio	Rivendell, Audacity, VLC	CC - BY, CC-BY-NC	
Compilando Podcast	On Line		Estepona	España	redaccion@compilando.audio	https://compilando.audio	https://compilando.audio/index.php/feed/podcast/	1 a 2	En todas	EterTICs GNU/Linux, Ubuntu / Ubuntu Studio	G-Radio	CC-BY-SA	Archive y Mastodon
Radio Libre Viento Sur	88.5 FM		Morón Estado Carabobo	Venezuela	radiolibrevientosur@gmail.com	http://www.radiolibrevientosur.com.ve/		1 a 2	En todas	Ubuntu / Ubuntu Studio	Radit	Dominio Público	Archive
Radio Ciudadana	103.3 FM		Montevideo	Uruguay	radiociudadana103.3fm.uy@gmail.com	http://www.radiociudadana1033.comblogspot.com		1 a 2	En las de producción, En las de salir al aire	EterTICs GNU/Linux	G-Radio, Ardour, Audacity, Butt, VLC	Producción de Pares BY-SA-NoCapitalista	
Radio Contenidos	90.0 FM	http://35.247.59.118/public/radiocontenidos	Lanzarote	España	prensa@radiocontenidos.org	http://www.radiocontenidos.org		3 a 5	En todas	EterTICs GNU/Linux, Linux Mint	G-Radio, Ardour, Audacity, Butt, IDJC	CC - BY	"Mastodon
Diáspora "
Zoy Milton	On Line	http://icepool.silvacast.com/GAYFM.mp3	Cochabamba	Bolivia	zoymilton@gmx.com	https://zoymilton.wixsite.com/zoymilton		1 a 2	En todas	EterTICs GNU/Linux	G-Radio	Dominio Público	Usamos redes libres, además de box como archive y radiotekita.
Bajo Fondo Radio Club	On Line	https://soundcloud.com/bajofondoradioclub	Cali	Colombia	bajofondoradioclub@gmail.com	https://soundcloud.com/bajofondoradioclub	https://soundcloud.com/bajofondoradioclub	1 a 2	En las de producción	Otro		Dominio Público	
Espika FM	90.7 FM	http://stream.codigosur.org/espikafm.mp3	Santa Lucía	Uruguay	espikafm@sejuntalagente.org	http://colectivoespika.sejuntalagente.org		3 a 5	En todas	EterTICs GNU/Linux, Ubuntu / Ubuntu Studio, Linux Mint	G-Radio, Radit, Audacity, Butt, VLC	CC-BY-SA	"Archive
Telegram"
Una Luz en la Ciudad FM	99.1 FM	http://186.125.198.102/stream	Armstrong	Argentina	unaluzenlaciudad991@gmail.com	https://www.unaluzenlaciudad.tk		1 a 2	En todas	Ubuntu / Ubuntu Studio	G-Radio	Otras	no
Emisora Regional	97.3 FM	https://radios.radiosyculturalibre.com.ar/fmregional.ogg	Oro Verde	Argentina	radio@emisoraregional.com	https://emisoraregional.com		3 a 5	En todas	EterTICs GNU/Linux	G-Radio	Mastodon y Diaspora	
Radio Voz Por La Vida	On Line	http://www.ccnmedios.supersitio.net/rxv.html	Mar del Plata	Argentina	ccnmedios@gmail.com	http://ccnmedios.supersitio.net		1 a 2		Ubuntu / Ubuntu Studio, Otras distros derivadas de Ubuntu (Lubuntu, Xubuntu...)	G-Radio, Radit, Butt	Mastodon, Diáspora, Gnusocial.	No por el momento.
Soul System Radio	On Line	http://ccnmedios.supersitio.net/rad.html	Mar del Plata	Argentina	ccnmedios@gmail.com	http://ccnmedios.supersitio.net		1 a 2	En todas	Ubuntu / Ubuntu Studio	G-Radio, Radit, Butt	Mastodon, Gnusocial, Diáspora.	Por el momento no hay un proyecto bien definido en ese campo.
Radio Salinerito	89.9 FM	www.radiosalinerito.ec	Salinas de Guaranda	Ecuador	director@radiosalinerito.ec	http://www.radiosalinerito.ec		3 a 5	En todas	EterTICs GNU/Linux, Otras distros derivadas de Ubuntu (Lubuntu, Xubuntu...), Linux Mint	Audacity, Butt	Otras	No
Fagulha Podcast	On Line	https://fagulha.podbean.com	Marabá-PA / Santa Maria-RS	Brasil		https://funkwhale.mastodon.host/library/radios/20	https://feed.podbean.com/fagulha/feed.xml	1 a 2	En todas	Otras distros derivadas de Ubuntu (Lubuntu, Xubuntu...)	Audacity	Otras	Mastodon
Conaicop	103.3 FM		Montevideo	Uruguay	conaicop.uy@gmail.com	http://conaicop.wordpress.com		3 a 5	En todas	EterTICs GNU/Linux, Otras distros derivadas de Ubuntu (Lubuntu, Xubuntu...)	G-Radio, Ardour, Audacity, Butt, Mixxx, IDJC, VLC	Dominio Público	Mastodon, diaspora, mumble, telegran, archive
Escuelas Radiofónicas Populares del Ecuador -ERPE-	91.7 FM	http://aler.org:8000/radioerpe.mp3	Riobamba	Ecuador	ferpe@erpe.org.ec	http://www.erpe.org.ec		Más de 10	Sólo en una para las pruebas	EterTICs GNU/Linux	G-Radio	Dominio Público	Joomla
CEPRA	100.3 FM		Cochabamba	Bolivia				5 a 10	En las de producción	EterTICs GNU/Linux		---	
Radio Reforma	On Line	http://www.turadioreforma.com	Nueva Concepcion, Chalatenango	El Salvador	turadioreforma@gmail.com	http://facebook.com/turadioreforma/		1 a 2	En todas	EterTICs GNU/Linux, Ubuntu / Ubuntu Studio	G-Radio, Ardour, Audacity, Butt, Mixxx, VLC	Dominio Público	
Radio Matraca	On Line		Berlin	Alemania	matraca@npla.de	https://www.npla.de/matraca/	https://www.npla.de/feed/podcast/?podcast_series=matraca	3 a 5	Sólo en una para las pruebas	EterTICs GNU/Linux, Linux Mint	Audacity, IDJC, VLC	CC-BY-SA	no
WEB RÁDIO UNEB - UNIVERSIDADE DO ESTADO DA BAHIA	On Line	http://webradio.uneb.br/	Conceição do Coité	Brasil	pejesus@uneb.br	http://webradio.uneb.br/		Más de 10	En todas	EterTICs GNU/Linux	Rivendell, Audacity, Butt, VLC	Dominio Público	softwarelivre.org
Radio Perola	92.3 FM		Caracas	Venezuela				Más de 10	EterTICs GNU/Linux	G-Radio	No toda, pero procuramos difundir música libre	Radialistas Apasionadxs	
Web Rádio Canções de Terreiro	On Line	http://servidor27.brlogic.com:8556/live	Arroio do Sal -RS	Brasil	cancoesdeterreiro@yahoo.com	http://umbanda7raios.net	http://umbanda7raios.net	3 a 5	EterTICs GNU/Linux, Otras distros derivadas de Ubuntu (Lubuntu, Xubuntu...)	G-Radio, Audacity, Butt, Mixxx, VLC	No toda, pero procuramos difundir música libre	Não	Não
INFINITO FM	102.3 FM		Las Piedras	Uruguay	infinitofm102.3@gmail.com	http://infinito.fmenlinea.com		1 a 2	En todas	Otro	Audacity	Dominio Público	RADIOTECA
Radio Comunitaria Cuyum	89.3 FM	http://comecuco.org:8000/Cuyum	Godoy Cruz - MENDOZA	Argentina	radiocuyum@yahoo.com.ar	http://comecuco.org		5 a 10	En las de producción, En las de salir al aire, En las de prensa	EterTICs GNU/Linux	Radit		
Radio Plaza de la Dignidad	On Line	www.radioplazadeladignidad.cl	Santiago	Chile	radioplazadeladignidad@gmail.com	http://www.radioplazadeladignidad.cl	https://cl.ivoox.com/es/palabras-dignidad-audios-mp3_rf_46426273_1.html?autoplay=true	3 a 5	En las de producción, En las de salir al aire, Sólo en una para las pruebas	EterTICs GNU/Linux, Linux Mint, Trisquel, Devuan, Otro	G-Radio, Butt, VLC	Otras	Telegram, Mastodon, además de redes privativas de la libertad.
Oldies Hits	On Line	http://radio.gknsoporte.net:8000/stream	San José	Costa Rica	info@oldieshitscr.com	https://oldieshitscr.com/		3 a 5	En las de salir al aire	EterTICs GNU/Linux	G-Radio	Dominio Público	
FM ComunicArte	99.1 FM	fmcomunicarte.com	López	Argentina	contacto@fmcomunicarte.com	http://fmcomunicarte.com		1 a 2	Sólo en una para las pruebas	Linux Mint	G-Radio, Butt		
AppRadio	On Line	appradio.cl	viña del mar	Chile	contacto@appradio.cl	http://appradio.cl		1 a 2	En las de salir al aire	Ubuntu / Ubuntu Studio	G-Radio, Audacity, Butt, VLC		
Expresión Vocaloid	On Line	https://expresionvocaloid.nsupdate.info/play	Salvatierra	México	expresionvocaloid@disroot.org	https://expresionvocaloid.nsupdate.info	https://expresionvocaloid.nsupdate.info/feeds/all.atom.xml	1 a 2	En todas	Trisquel, Debian, Otras derivadas de Debian o Devuan, Arch y otras derivadas	--	CC - BY, CC-BY-SA, CC-BY-ND, CC-BY-NC, CC-BY-SA-NC	Mastodon,XMPP,.y no tan libre Telegram
