id,name,stream_broken,has_ads,location,webpage,url,icon,description,epg,mailto
11,Radio Enlace,,,Madrid (España),https://www.radioenlace.org/,https://cervera.eldialdigital.com:25121/stream,https://graph.facebook.com/radioenlacemadrid/picture?width=200&height=200,,,
12,Radio la Granja,,,Zaragoza (España),https://radiolagranja.org/,https://radiobot.radioslibres.info/listen/radio_la_granja/rlg.mp3,https://radiobot.radioslibres.info/static/uploads/radio_la_granja/album_art.1681753022.jpg,,,
13,Irola Irratia,,,Bilbao (España),https://irolairratia.org/,https://giss.tv:666/irola.mp3,https://i0.wp.com/irolairratia.org/wp-content/uploads/2026/01/cropped-Irola-Irratia-con-web-e1767740165928.png?w=250&ssl=1,,,
14,Radio Malva,true,,Valencia (España),https://radiomalva.org/,http://radiomalva.ddns.net:8000/rmbc.ogg,https://radiomalva.org/wp-content/uploads/2022/03/radiomalva-logo-w.jpg,,,
15,Ké Huelga Radio,true,,México,https://kehuelga.net/,http://kehuelga.net:8000/radio.mp3,https://upload.wikimedia.org/wikipedia/commons/7/79/Ke_Huelga_Radio.png,,,kehuelga@kehuelga.net
16,Ràdio Klara,,,Valencia (España),https://radioklara.org/,https://cervera.eldialdigital.com:21111/stream,https://pbs.twimg.com/profile_images/1187485621/logok_400x400.png,,,
17,Radio Libertaire,true,,París (Francia),https://radio-libertaire.org/,http://media.radio-libertaire.org:8080/radiolib.mp3,https://radio-libertaire.org/images/bandRL.jpg,,,
18,Radio Topo,,,Zaragoza (España),https://radiotopo.org/,https://radiobot.radioslibres.info/listen/radio_topo/radio96.mp3,https://www.radiotopo.org/wp-content/uploads/2024/05/logo-radio-topo-1.png,,,
19,Radio Vallekas,,,Madrid (España),https://radiovallekas.org/,https://radio.radiobot.org/listen/rvk/rvk.mp3,https://www.radiovallekas.org/wp-content/uploads/2020/11/indice.png,,,
20,Radio Utopía,true,,San Sebastián de los Reyes (España),https://radioutopia.org.es/,http://streaming.radioutopia.es:8000/radio-utopia.mp3,https://www.radioutopia.org.es/wp-content/uploads/2024/12/cropped-Radio-Utopia-150x150.png,,,
21,Radio Carcoma,,,Madrid (España),https://www.radiocarcoma.com/,https://live.radiocarcoma.com/main,https://www.radiocarcoma.com/wp-content/uploads/logo_Small.jpg,,,
22,Radio Mistelera,,,Marina Alta (España),https://radiomistelera.blogspot.com/,https://radiobot.radioslibres.info/listen/radio_mistelera/radio.mp3,https://radiobot.radioslibres.info/static/uploads/album_art.1640255872.jpg,,,
23,Radio Almaina,,,Granada (España),https://radioalmaina.org/,https://radiobot.radioslibres.info/listen/radio_almaina/radio.mp3,https://img-static.ivoox.com/index.php?w=175&url=https://static-1.ivoox.com/canales/4/4/6/e/446e4bcfdda2af1dec4be8062f5ffec0_XXL.jpg&f=webp,,,
24,Radio Pirineo,,,"Huesca, Spain",https://radiopirineo.blogspot.com/,https://radiobot.radioslibres.info/listen/radio_espiritrompa/radio.mp3,https://cdn-radiotime-logos.tunein.com/s247060d.png,,,
25,Radio RSK,,,"9Barris, Barcelona",https://www.radiorsk.info/,https://worldradio.online/proxy/?q=http://radiorsk.duckdns.org:8000/rsk.mp3&plugin_id=13399&site_id=18892630,https://www.radiorsk.info/wp-content/uploads/2016/03/cropped-logo-rsk_trans-3-1.png,,,
26,Radio Pimienta,,,"Tenerife, Spain",https://www.radiopimienta.org/,https://cervera.eldialdigital.com:21182/stream,https://static-1.ivoox.com/audios/2/9/9/2/29921e28f3dcf0a21f2a4fa00c5d2d97_XXL.jpg,,,
27,Radio Onda Rossa,,,"Roma, Lazio",https://www.ondarossa.info/,https://radio.dyne.org/ondarossa.ogg?0.898677961877152,https://www.ondarossa.info/themes/custom/ror2010/img/logo.png,,,
28,Radio Onda d'Urto,,,"Brescia, Lombardy",https://www.radiondadurto.org/,https://hochimin.urtostream.org:8443/radiondadurto.mp3,https://pbs.twimg.com/profile_images/1460971418531811337/6yS6xzTX_400x400.jpg,,,
29,Radio Blackout,,,"Torino, Piedmont",https://radioblackout.org/,https://blimp.streampunk.cc/_stream/blackout.mp3,https://radioblackout.org/logo.png,,,
33,FM El Libertador,true,,Posadas (Argentina),http://ellibertadorenlinea.com.ar/,https://radios.radiosyculturalibre.com.ar/fmellibertador.ogg.m3u,,,,julioluismoyano@gmail.com
34,Radioliberada,true,,San Cristóbal (República Bolivariana de Venezuela),https://radioliberada.org.ve,,,,,radioliberadapodcast2@gmail.com
35,Noticias de abajo,true,,Ciudad de Mexico (Mexico),http://laboratoriodemedios.org,espora.org:8000/laboratorio,,,,noticiasdeabajoml@riseup.net
38,Aconchego,,,Recife (Brasil),https://radioaconchego.milharal.org,https://orelha.radiolivre.org/aconchego,https://mapadamidiape.marcozero.org/wp-content/uploads/2022/02/logo-radio-aconchego-292x300.jpg,,,radioaconchego@riseup.net
42,Radio Encuentro,true,true,Luján (Argentina),https://www.radioencuentro.com.ar,http://192.99.46.171:10052/stream.mp3,https://radioencuentro.com.ar/wp-content/uploads/2022/01/cropped-instagram-1080px.png,youtube,,consultas@radioencuentro.com.ar
43,Radio Universitaria,,,León (España),http://radiouniversitaria.com/,https://radio.unileon.es/radio-unileon-320,https://pbs.twimg.com/profile_images/1909217191758630912/DuNDNVGL_400x400.jpg,,,eloy.garcia.pca@gmail.com
45,Radio Roja,,,Casa Grande (Argentina),http://www.radioroja.com.ar,"https://orelha.radiolivre.org/radioroja.mp3
",https://radioroja.com.ar/wp-content/uploads/2025/11/cropped-radio_roja_transparent-e1776713742951.png,,,informes@radioroja.com.ar
46,Radio Kvrruf,,,Temuco (Chile),http://radiokurruf.org/,https://radio.latina.red/radiokurruf.mp3?_=1,https://radiokurruf.org/wp-content/uploads/2021/11/rect6886.png,,,radiokurruf@riseup.net
49,Azulita TV,true,,La Azulita (Venezuela),http://www.molinilloazul.com.ve,,,,,azulitafm@gmail.com
50,Conaicop,,,Montevideo (Uruguay),http://www.radioconaicop.blogspot.com,https://stream-175.zeno.fm/65h59sw071zuv?zt=eyJhbGciOiJIUzI1NiJ9.eyJzdHJlYW0iOiI2NWg1OXN3MDcxenV2IiwiaG9zdCI6InN0cmVhbS0xNzUuemVuby5mbSIsInJ0dGwiOjUsImp0aSI6IklnSFVVZnNPVHZPY2stTVlxZFdnSHciLCJpYXQiOjE3ODA0MjAxMDQsImV4cCI6MTc4MDQyMDE2NH0.3un2lKI79gn_7Tc825kHbwenKAwdETtdy1KJpVy12ys&1780420104848,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjOCnD44Yds_4zAWeO5q8WneL3Mg0Mhlrk1X9wzT5rZVI6v0IMLQWbbTvLTFX6zcMOfDCorv3Je92BmzJZ1ar7By-xVZ6UOuPl86AIAbhc8MudIMrr48pJFN13XBflW2bTRie06PKQV5Bc/s1600/29261902_1929437933756754_2317966844752923398_ne.jpg,,,conaicop.uy@gmail.com
52,Zintzilik Irratia,,,"Orereta (Euskal Herria, Península Ibérica)",https://www.zintzilik.net/,https://radio.sindominio.net/zintzilik,https://www.zintzilik.net/files/2025/10/cropped-zintzilik_burua_2025_2026.jpg,,,zintzilik@sindominio.net
56,Radio Sur,,,Buenos Aires (Argentina),http://www.radiosur.org.ar/,https://www.radiosur.org.ar/noticias/16334/whatsappptt20250915at095935enhancedv2.mp3,https://www.radiosur.org.ar/images/RadioSur-Logo2018.jpg,,,radiosur88.3@gmail.com
57,Radio Suscal,,,Suscal (Ecuador),https://radiosuscal881.blogspot.com,https://stream.zeno.fm/p3li1wnwyvtuv?1780421426944,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEi3a5Wn7lk-dXNWsftoF5aGTqREA9xA4ROK3rHkY9xpvKqtrDM4RJQKQU9UOkCgBOrcYLVEzSzdJjyKM6v7L1tgBVJH2mpgIm-C3ZgDCZEPyRJwpJ9f5FakO2HWpMcIh_h25gnm0Lw_F9s/,,,suscalradiodigital@gmail.com
60,fmsierrascomechingones.blogspot.com,true,,San Pedro (Còrdoba Argentina),http://fmsierrascomechingones.blogspot.com,http://giss.tv:8000/fmsierras.mp3,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhQZyQqzt9yNWetLI5x50RPza4LvXi4A4fWH9gYT52q7ms_Ajfmj7pKI2gGsM4QQQmvoEtUmtgL4ngb2aDIYEuDvZjWihpG5EsGgM4HMCsil21p0ijF95wnKjGeGhyZgCLgmbj8j_R9MQYA/s400/Autocopia_de_seguridad_deLOGO+9+colo.jpg,,,fmsierras@gmail.com
63,Kmoradio,,,Ciaño Langreo Principado de Asturias (España),http://www.km0radio.es,https://eu1.lhdserver.es:9011/stream,https://www.km0radio.es/templates/shaper_vocal/images/logo.png,,,km0radio@hotmail.com
65,Ahijuna,,true,Bernal (Argentina),https://ahijuna.fm/,http://stream.ahijuna.fm/aire.ogg,https://ahijuna.fm/wp-content/uploads/2023/05/cropped-cropped-Ahijuna-marca-color-violeta.png,,,radio@ahijuna.fm
66,Alba Ciudad 96.3 FM,,,Caracas (Venezuela),http://www.albaciudad.org,https://envivo.albaciudad.org/albaciudad.mp3,https://albaciudad.org/wp-content/uploads/2026/04/tope2026-2.png,,,albaciudadfm@gmail.com
69,Radio Ciudadana,,,Montevideo (Uruguay),https://ciudadanafm.blogspot.com/,https://stream-175.zeno.fm/65h59sw071zuv,https://cdn.instant.audio/images/logos/radios-com-uy/ciudadana-uy.png,,,radiociudadana103.3fm.uy@gmail.com
71,Zoy Milton,,,Cochabamba (Bolivia),https://zoymilton.wixsite.com/zoymilton,http://icepool.silvacast.com/GAYFM.mp3,"https://static.wixstatic.com/media/7edb0d_d81f310377354aea8b14a5dc51f58498~mv2.png/v1/fill/w_720,h_720,al_c,q_90,enc_avif,quality_auto/LOGO%201%20ZoyTV.png",,,zoymilton@gmx.com
73,Espika FM,true,,Santa Lucía (Uruguay),http://colectivoespika.sejuntalagente.org,http://stream.codigosur.org/espikafm.mp3,,,,espikafm@sejuntalagente.org
77,Soul System Radio,,,Mar del Plata (Argentina),http://ccnmedios.supersitio.net,https://stream-176.zeno.fm/nklcejcy0lvtv,https://cdn.instant.audio/images/logos/radioarg-com/soul-system.png,,,ccnmedios@gmail.com
78,Radio Salinerito,,,Salinas de Guaranda (Ecuador),http://www.radiosalinerito.ec,https://radios.yanapak.org/89.9fm,https://radiosalinerito.ec/wp-content/uploads/elementor/thumbs/cropped-Logotipo-Radio-Salinerito-89.9-FM-Oficial-Final-v4-1-rnde5nzbm4cbhh5lx9vnsxhz5xfsva56gkprvway3k.png,,,director@radiosalinerito.ec
79,Fagulha Podcast,,,Marabá-PA / Santa Maria-RS (Brasil),https://funkwhale.mastodon.host/library/radios/20,https://fagulha.podbean.com,,,,
81,Escuelas Radiofónicas Populares del Ecuador -ERPE-,,,Riobamba (Ecuador),http://www.erpe.org.ec,https://sonicpanel.zonaradio.net/8220/stream,https://www.erpe.org.ec/images/Logos/Logo-header.png#joomlaImage://local-images/Logos/Logo-header.png,,,ferpe@erpe.org.ec
82,CEPRA,true,,Cochabamba (Bolivia),https://ceprabolivia.org/,,https://ceprabolivia.org/img/logo_cepra.png,,,
84,Radio Matraca,true,,Berlin (Alemania),https://www.npla.de/matraca/,,https://www.npla.de/wordpress/wp-content/uploads/2023/12/matraca-button-v3.png,,,matraca@npla.de
88,INFINITO FM,,,Las Piedras (Uruguay),http://infinito.fmenlinea.com,https://player.gmpro.top/proxy/7028,,,,infinitofm102.3@gmail.com
89,Radio La Montonera,,,Cuyo. Argentina,https://www.radiolamontonera.com.ar/,https://stm.livecastradio.com:7154/stream,https://radiolamontonera.com.ar/images/foto/6556f423d8118.png,,,radiocuyum@yahoo.com.ar
90,Radio Plaza de la Dignidad,,,Santiago (Chile),http://www.radioplazadeladignidad.cl,https://stream-179.zeno.fm/uq4631ffvqruv,https://zeno.fm/_ipx/_/https://images.zeno.fm/USrqCFa60wEgtoF7qq5LHhi4bszBiEcYFg1p9Z7hyPE/rs:fill:288:288/g:ce:0:0/aHR0cHM6Ly9wcm94eS56ZW5vLmZtL2NvbnRlbnQvc3RhdGlvbnMvYWd4emZucGxibTh0YzNSaGRITnlNZ3NTQ2tGMWRHaERiR2xsYm5RWWdJRGcwZkcwdUFrTUN4SU9VM1JoZEdsdmJsQnliMlpwYkdVWWdJRGdzYUhIMndvTW9nRUVlbVZ1YncvaW1hZ2UvP3U9MTY2MjE1MTE5MzAwMA.webp,,,radioplazadeladignidad@gmail.com
